,League_from,Team_from
336,First Division,Wigan
337,First Division,Wolves
338,HET Liga,Banik Ostrava
339,HET Liga,FK Teplice
340,HET Liga,Sigma Olomouc
341,HET Liga,Slavia Prag
342,HET Liga,Slovan Liberec
343,HET Liga,Sparta Praha
344,HET Liga,Viktoria Plzen
345,HET Liga,Zbrojovka Brno
346,J1 - 2nd Stage,Kyoto Sanga
347,J1 - 2nd Stage,Urawa Reds
348,J1 - 2nd Stage,Yokohama F. M.
349,J1 League,Gamba Osaka
350,J1 League,JEF Utd. Chiba
351,J1 League,Kashima Antlers
352,J1 League,Kashiwa Reysol
353,J1 League,Nagoya Grampus
354,J1 League,Tokyo Verdy
355,J1 League,Urawa Reds
356,J2 League,Tokyo Verdy
357,Jupiler Pro League,Beerschot AC
358,Jupiler Pro League,Club Brugge
359,Jupiler Pro League,Exc. Mouscron
360,Jupiler Pro League,KAA Gent
361,Jupiler Pro League,KAS Eupen
362,Jupiler Pro League,KRC Genk
363,Jupiler Pro League,KSC Lokeren
364,Jupiler Pro League,KSK Beveren
365,Jupiler Pro League,KV Oostende
366,Jupiler Pro League,KVC Westerlo
367,Jupiler Pro League,Lierse SK
368,Jupiler Pro League,RSC Anderlecht
369,Jupiler Pro League,RSC Charleroi
370,Jupiler Pro League,Royal Antwerp
371,Jupiler Pro League,Standard Liège
372,Jupiler Pro League,Zulte Waregem
373,K League 1,Ulsan
374,Korean FA Cup,Pohang Steelers
375,LaLiga,Alavés
376,LaLiga,Albacete
377,LaLiga,Athletic Bilbao
378,LaLiga,Atlético Madrid
379,LaLiga,CA Osasuna
380,LaLiga,CD Leganés
381,LaLiga,Celta de Vigo
382,LaLiga,Dep. La Coruña
383,LaLiga,Elche CF
384,LaLiga,Espanyol
385,LaLiga,FC Barcelona
386,LaLiga,Getafe CF
387,LaLiga,Granada CF
388,LaLiga,Levante UD
389,LaLiga,Málaga CF
390,LaLiga,RCD Mallorca
391,LaLiga,Racing
392,LaLiga,Rayo Vallecano
393,LaLiga,Real Betis
394,LaLiga,Real Madrid
395,LaLiga,Real Sociedad
396,LaLiga,Real Valladolid
397,LaLiga,Real Zaragoza
398,LaLiga,Recr. Huelva
399,LaLiga,SD Eibar
400,LaLiga,Sevilla FC
401,LaLiga,Sporting Gijón
402,LaLiga,UD Almería
403,LaLiga,UD Las Palmas
404,LaLiga,Valencia CF
405,LaLiga,Villarreal CF
406,LaLiga2,Alavés
407,LaLiga2,Albacete
408,LaLiga2,Atlético Madrid
409,LaLiga2,CD Tenerife
410,LaLiga2,Celta de Vigo
411,LaLiga2,Dep. La Coruña
412,LaLiga2,Elche CF
413,LaLiga2,FC Barcelona B
414,LaLiga2,Hércules CF
415,LaLiga2,Levante UD
416,LaLiga2,RCD Mallorca
417,LaLiga2,RM Castilla
418,LaLiga2,Racing
419,LaLiga2,Real Betis
420,LaLiga2,Real Valladolid
421,LaLiga2,Real Zaragoza
422,LaLiga2,SD Compostela
423,LaLiga2,Sevilla FC
424,LaLiga2,Sporting Gijón
425,LaLiga2,UD Almería
426,LaLiga2,UD Las Palmas
427,LaLiga2,UD Salamanca
428,LaLiga2,Villarreal CF
429,League One,BJ Renhe
430,League One,Bristol City
431,League One,Charlton
432,League One,Crewe Alexandra
433,League One,DL Yifang
434,League One,Leeds
435,League One,MK Dons
436,League One,Peterborough
